title,publication-date,event-date,country,location,lat_long,diseases,syndromes,url,id,cases,dead,disease,syndrome,location_y,transmission,keywords,locations,type
Health chiefs warn Brits to stay off school or work if feeling ill as winter bugs surge,3/01/2023,,United Kingdom,,"51.5, -0.126",covid19,,https://www.mirror.co.uk/news/uk-news/health-chiefs-warn-brits-stay-28856890,42195,,,,,,,,,
"Coronavirus in India: 42909 new cases in 24 hours, 380 killed, 29836 people infected in Kerala alone",31/08/2021,29/08/2021,India,Sikkim,"27.57, 88.477",covid19,,https://gujarati.news18.com/news/national-international/covid19-in-india-coronavirus-mofhw-data-30-august-2021-vaccination-in-india-mb-1128832.html,8107,,,,,,,,,
"One death each due to dengue, malaria in Delhi this year: Civic body report",22/12/2020,22/12/2020,India,"Delhi, New Delhi, New Delhi","28.632, 77.219","dengue, malaria",,https://www.indiatvnews.com/news/india/delhi-dengue-malaria-chikungunya-cases-delhi-vector-borne-diseases-data-673060,1830,,,,,,,,,
Russia recorded a sharp increase in COVID-19 infections - DW,7/02/2022,,Russian Federation,,"55.757, 37.615",covid19,,https://www.dw.com/ru/fiksirovano-nebyvaloe-chislo-zarazhenij-covid-19/a-60672855,16346,,,,,,,,,
"Covid-19 pneumonia situation in Chongqing on July 12, 2022;",12/07/2022,,China,Chongqing,"30.058, 107.874",covid19,,http://wsjkw.cq.gov.cn/ztzl_242/qlzhxxgzbdfyyqfkgz/yqtb/202207/t20220712_10908673.html,26197,,,,,,,,,
"Sydney COVID-19 cases set to rise, hospitals under pressure | Reuters",17/08/2021,17/08/2021,Australia,"New South Wales, Sydney, Sydney","-33.873, 151.205",covid19,,https://www.reuters.com/world/asia-pacific/australias-victoria-reports-slight-rise-local-covid-19-cases-2021-08-16/,7539,,,,,,,,,
"Dengue: With the onset of summer, pathankot started increasing...",10/06/2022,,India,"Punjab, Pathankot, Pathankot","32.26, 75.632",dengue,,https://punjab.news18.com/news/punjab/pathankot/pathankot-dengue-cases-in-pathankot-on-the-rise-with-the-onset-of-summer-js-rup-as-local18-347589.html,24058,,,,,,,,,
National Health Commission: 9 new crown pneumonia confirmed cases 14 cases are imported cases from abroad;,11/04/2021,11/04/2021,China,,"39.931, 116.386",covid19,severe acute respiratory syndrome,https://finance.sina.com.cn/tech/2021-04-10/doc-ikmyaawa8845224.shtml,4505,,,,,,,,,
For reprint print: Syndication Service,2/05/2021,,India,Karnataka,"14.71, 76.168",covid19,,https://www.thejasnews.com/news/india/covid-status-karnataka-169458,5206,,,,,,,,,
in the Chelyabinsk region announced a quarantine for bird flu - 74.RU,25/09/2021,,Russian Federation,"Ural Federal District, Chelyabinsk Oblast, Chelyabinsk","55.16, 61.394",influenza b,,https://74.ru/text/animals/2021/09/24/70155899/comments/,9539,,,,,,,,,
